Date,SPY,QQQ,BND,VTI,VWO,VEA
2015-01-02,170.12496948242188,94.66506958007812,59.6035041809082,87.81743621826172,28.644439697265625,26.925586700439453
2015-01-05,167.05258178710938,93.27643585205078,59.77656555175781,86.30846405029297,28.188268661499023,26.32549476623535
2015-01-06,165.47911071777344,92.02580261230469,59.949668884277344,85.46280670166016,28.050701141357422,26.0325984954834
2015-01-07,167.54116821289062,93.21208190917969,59.985721588134766,86.48257446289062,28.695127487182617,26.311214447021484
2015-01-08,170.51419067382812,94.99612426757812,59.89198303222656,88.00811004638672,29.18024444580078,26.711275100708008
2015-01-09,169.14779663085938,94.37077331542969,59.9929313659668,87.27851104736328,29.035430908203125,26.582679748535156
2015-01-12,167.82276916503906,93.38683319091797,60.072265625,86.65668487548828,28.77476692199707,26.554105758666992
2015-01-13,167.35072326660156,93.35919952392578,60.12995529174805,86.45770263671875,28.977502822875977,26.682695388793945
2015-01-14,166.3404083251953,92.84423065185547,60.26695251464844,85.98511505126953,28.8689022064209,26.61125946044922
2015-01-15,164.8166046142578,91.63951110839844,60.533790588378906,85.11456298828125,28.95578956604004,26.761281967163086
2015-01-16,166.97808837890625,92.71549987792969,60.35354232788086,86.24212646484375,29.24542236328125,27.054180145263672
2015-01-20,167.3341827392578,93.451171875,60.28860855102539,86.36653137207031,29.144052505493164,27.175626754760742
2015-01-21,168.1788787841797,93.92935180664062,60.173248291015625,86.75617980957031,29.79571533203125,27.37565803527832
2015-01-22,170.67982482910156,95.66747283935547,60.18766784667969,88.07442474365234,30.425657272338867,27.475683212280273
2015-01-23,169.74404907226562,95.87896728515625,60.38233947753906,87.67648315429688,30.164989471435547,27.311372756958008
2015-01-26,170.14158630371094,95.76862335205078,60.31024932861328,88.04126739501953,30.201204299926758,27.67571449279785
2015-01-27,167.89732360839844,93.28564453125,60.346309661865234,87.0131607055664,30.041908264160156,27.697141647338867
2015-01-28,165.7440643310547,92.80746459960938,60.562652587890625,85.83587646484375,29.687105178833008,27.332796096801758
2015-01-29,167.2761993408203,93.69947052001953,60.49776077270508,86.65668487548828,29.716064453125,27.704280853271484
2015-01-30,165.17276000976562,92.9729995727539,60.8294792175293,85.47937774658203,28.919586181640625,27.254209518432617
2015-02-02,167.21824645996094,93.7822265625,60.75721740722656,86.44114685058594,29.43368911743164,27.611427307128906
2015-02-03,169.6363983154297,94.68344116210938,60.56937026977539,87.76768493652344,29.955015182495117,28.004329681396484
2015-02-04,168.990478515625,94.60067749023438,60.59102249145508,87.46092224121094,29.752275466918945,27.804296493530273
2015-02-05,170.69642639160156,95.4191665649414,60.46091842651367,88.42266845703125,29.97673988342285,28.09719467163086
2015-02-06,170.224365234375,94.83980560302734,60.07072067260742,88.15733337402344,29.4843692779541,27.761442184448242
2015-02-09,169.46250915527344,94.53631591796875,60.049076080322266,87.71793365478516,29.44815444946289,27.632841110229492
2015-02-10,171.26783752441406,96.0076904296875,59.9406852722168,88.61334228515625,29.397470474243164,27.86859703063965
2015-02-11,171.3671875,96.35716247558594,59.9406852722168,88.65479278564453,29.267135620117188,27.718570709228516
2015-02-12,173.0151824951172,97.47906494140625,59.96953201293945,89.50878143310547,29.947769165039062,28.147207260131836
2015-02-13,173.72743225097656,98.31592559814453,59.83226776123047,89.9316177368164,30.251888275146484,28.347238540649414
